"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","SOURCE","HourlyAltimeterSetting","HourlyDewPointTemperature","HourlyDryBulbTemperature","HourlyPrecipitation","HourlyPresentWeatherType","HourlyPressureChange","HourlyPressureTendency","HourlyRelativeHumidity","HourlySkyConditions","HourlySeaLevelPressure","HourlyStationPressure","HourlyVisibility","HourlyWetBulbTemperature","HourlyWindDirection","HourlyWindGustSpeed","HourlyWindSpeed","Sunrise","Sunset","DailyAverageDewPointTemperature","DailyAverageDryBulbTemperature","DailyAverageRelativeHumidity","DailyAverageSeaLevelPressure","DailyAverageStationPressure","DailyAverageWetBulbTemperature","DailyAverageWindSpeed","DailyCoolingDegreeDays","DailyDepartureFromNormalAverageTemperature","DailyHeatingDegreeDays","DailyMaximumDryBulbTemperature","DailyMinimumDryBulbTemperature","DailyPeakWindDirection","DailyPeakWindSpeed","DailyPrecipitation","DailySnowDepth","DailySnowfall","DailySustainedWindDirection","DailySustainedWindSpeed","DailyWeather","MonthlyAverageRH","MonthlyDaysWithGT001Precip","MonthlyDaysWithGT010Precip","MonthlyDaysWithGT32Temp","MonthlyDaysWithGT90Temp","MonthlyDaysWithLT0Temp","MonthlyDaysWithLT32Temp","MonthlyDepartureFromNormalAverageTemperature","MonthlyDepartureFromNormalCoolingDegreeDays","MonthlyDepartureFromNormalHeatingDegreeDays","MonthlyDepartureFromNormalMaximumTemperature","MonthlyDepartureFromNormalMinimumTemperature","MonthlyDepartureFromNormalPrecipitation","MonthlyDewpointTemperature","MonthlyGreatestPrecip","MonthlyGreatestPrecipDate","MonthlyGreatestSnowDepth","MonthlyGreatestSnowDepthDate","MonthlyGreatestSnowfall","MonthlyGreatestSnowfallDate","MonthlyMaxSeaLevelPressureValue","MonthlyMaxSeaLevelPressureValueDate","MonthlyMaxSeaLevelPressureValueTime","MonthlyMaximumTemperature","MonthlyMeanTemperature","MonthlyMinSeaLevelPressureValue","MonthlyMinSeaLevelPressureValueDate","MonthlyMinSeaLevelPressureValueTime","MonthlyMinimumTemperature","MonthlySeaLevelPressure","MonthlyStationPressure","MonthlyTotalLiquidPrecipitation","MonthlyTotalSnowfall","MonthlyWetBulb","AWND","CDSD","CLDD","DSNW","HDSD","HTDD","DYTS","DYHF","NormalsCoolingDegreeDay","NormalsHeatingDegreeDay","ShortDurationEndDate005","ShortDurationEndDate010","ShortDurationEndDate015","ShortDurationEndDate020","ShortDurationEndDate030","ShortDurationEndDate045","ShortDurationEndDate060","ShortDurationEndDate080","ShortDurationEndDate100","ShortDurationEndDate120","ShortDurationEndDate150","ShortDurationEndDate180","ShortDurationPrecipitationValue005","ShortDurationPrecipitationValue010","ShortDurationPrecipitationValue015","ShortDurationPrecipitationValue020","ShortDurationPrecipitationValue030","ShortDurationPrecipitationValue045","ShortDurationPrecipitationValue060","ShortDurationPrecipitationValue080","ShortDurationPrecipitationValue100","ShortDurationPrecipitationValue120","ShortDurationPrecipitationValue150","ShortDurationPrecipitationValue180","REM","BackupDirection","BackupDistance","BackupDistanceUnit","BackupElements","BackupElevation","BackupEquipment","BackupLatitude","BackupLongitude","BackupName","WindEquipmentChangeDate"
"67531099999","2013-04-05T08:00:00","-13.5333333","23.1166667","1078.0","ZAMBEZI, ZA","FM-12","4","","66","70","","","","9","88","FEW:01 118","","","18.64","","180","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN088AAXX  05064 67531 32980 21803 10210 20190 48/// 81032 333 10312 20135 58004 81362 81082;","","","","","","","","","",""
"67531099999","2013-04-08T08:00:00","-13.5333333","23.1166667","1078.0","ZAMBEZI, ZA","FM-12","4","","61","67","","","","9","79","SCT:03 118","","","18.64","","090","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN088AAXX  08064 67531 32980 50904 10196 20159 48/// 83031 333 10300 20131 58005 83362 83082;","","","","","","","","","",""
"67531099999","2013-04-08T11:00:00","-13.5333333","23.1166667","1078.0","ZAMBEZI, ZA","FM-12","4","","60","81","","","","","48","FEW:01 45 FEW:01 128","","","18.64","","090","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN082AAXX  08094 67531 42580 30902 10271 20153 48/// 81131 333 5//// 81846 81363 82082;","","","","","","","","","",""
"67531099999","2013-04-09T08:00:00","-13.5333333","23.1166667","1078.0","ZAMBEZI, ZA","FM-12","4","","63","68","","","","9","84","FEW:01 394","","","18.64","","000","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN098AAXX  09064 67531 32980 10000 10200 20172 48/// 80002 333 10311 20129 58003 81082 555 00/// 20000;","","","","","","","","","",""
"67531099999","2013-04-12T08:00:00","-13.5333333","23.1166667","1078.0","ZAMBEZI, ZA","FM-12","4","","57","65","","","","9","73","FEW:02 394","","","18.64","","090","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN082AAXX  12064 67531 32980 20904 10186 20137 48/// 80001 333 10324 20132 58010 82082;","","","","","","","","","",""
"67531099999","2013-04-12T14:00:00","-13.5333333","23.1166667","1078.0","ZAMBEZI, ZA","FM-12","4","","62","85","","","","9","45","SCT:04 39","","","18.64","","070","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN076AAXX  12124 67531 42780 40702 10295 20165 48/// 84101 333 58015 84840 81082;","","","","","","","","","",""
"67531099999","2013-04-15T08:00:00","-13.5333333","23.1166667","1078.0","ZAMBEZI, ZA","FM-12","4","","55","65","","","","9","69","CLR:00","","","18.64","","110","","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN080AAXX  15064 67531 32980 01107 10186 20128 48/// 333 10305 20130 59008 555 00121;","","","","","","","","","",""
"67531099999","2013-04-15T11:00:00","-13.5333333","23.1166667","1078.0","ZAMBEZI, ZA","FM-12","4","","54","80","","","","","40","CLR:00","","","18.64","","120","","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN058AAXX  15094 67531 42980 01209 10269 20123 48/// 333 5////;","","","","","","","","","",""
"67531099999","2013-04-16T08:00:00","-13.5333333","23.1166667","1078.0","ZAMBEZI, ZA","FM-12","4","","56","65","","","","9","71","CLR:00","","","18.64","","110","","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN080AAXX  16064 67531 32980 01105 10185 20132 48/// 333 10305 20109 59012 555 00101;","","","","","","","","","",""
"67531099999","2013-04-17T08:00:00","-13.5333333","23.1166667","1078.0","ZAMBEZI, ZA","FM-12","4","","55","65","","","","9","68","FEW:01 394","","","18.64","","000","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN092AAXX  17064 67531 32980 10000 10186 20126 48/// 80001 333 10305 20102 59010 81082 555 00100;","","","","","","","","","",""
